A,C,B,E,D,F,H,mu__0,sigma_log_,sigma
211.353176547,-3.89479136499,0.0543209955629,707.67149027,-59.970977073,292.546064561,-1.51324601711,112.804121567,0.801343183953,2.22853224785
210.67874329,-3.89479136499,-0.18814287762,707.67149027,-60.1386017021,291.73727583,-1.51324601711,111.882963495,0.801343183953,2.22853224785
210.67874329,-3.89479136499,-0.18814287762,707.545728042,-60.1386017021,291.73727583,-1.51324601711,111.887456715,0.801343183953,2.22853224785
210.168022197,-3.89479136499,-0.18814287762,707.922661086,-60.1386017021,291.73727583,-1.51324601711,111.604637285,0.801343183953,2.22853224785
209.254467321,-3.89479136499,-0.18814287762,708.310692828,-60.1386017021,291.73727583,-1.51324601711,111.11040882,0.801343183953,2.22853224785
209.254467321,-4.11101817234,-0.18814287762,708.460784376,-60.6668926266,291.342866932,-1.51324601711,110.743832753,0.801343183953,2.22853224785
209.254467321,-4.11101817234,-0.18814287762,710.143036643,-61.5431126032,291.342866932,-1.51324601711,110.474998936,0.801343183953,2.22853224785
209.254467321,-4.11101817234,-0.18814287762,710.742488795,-62.1305270059,291.437083138,-1.51324601711,110.358144963,0.801343183953,2.22853224785
209.254467321,-3.96675540063,-0.18814287762,712.131195969,-62.1305270059,291.437083138,-1.51324601711,110.311191946,0.801343183953,2.22853224785
208.713623088,-3.96675540063,-0.18814287762,710.699276875,-63.1335525338,290.3080074,-1.51324601711,109.342622034,0.801343183953,2.22853224785
208.713623088,-3.96675540063,-0.18814287762,712.595557578,-64.37689814,289.590307594,-1.51324601711,108.68893875,0.801343183953,2.22853224785
208.713623088,-3.96675540063,-0.18814287762,712.595557578,-64.1923930523,289.590307594,-1.51324601711,108.72856684,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.18814287762,712.820437413,-64.3768645351,289.584272221,-1.51324601711,108.360690396,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.18814287762,713.800904354,-64.9333927865,287.211486709,-1.51324601711,107.216007202,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.18814287762,713.636307636,-64.9333927865,287.211486709,-1.51324601711,107.222061606,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.18814287762,714.220187214,-64.9333927865,287.211486709,-1.51324601711,107.200617937,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.0731726884063,714.08334663,-64.8907972281,287.211486709,-1.51324601711,107.238993564,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.125819263078,714.08334663,-64.8907972281,287.211486709,-1.51324601711,107.216616422,0.801343183953,2.22853224785
208.11789851,-3.96675540063,-0.125819263078,713.645672427,-65.3388596776,287.211486709,-1.51324601711,107.143986814,0.859425393321,2.36180319584
208.02944022,-3.96675540063,-0.125819263078,713.645672427,-65.3388596776,287.211486709,-1.51324601711,107.096392101,0.859425393321,2.36180319584
207.722258765,-3.96675540063,-0.125819263078,713.941935215,-65.7239986759,286.354876529,-1.51324601711,106.501478753,0.859425393321,2.36180319584
207.722258765,-3.96675540063,-0.125819263078,713.83407965,-65.6026703354,286.354876529,-1.51324601711,106.528599766,0.859425393321,2.36180319584
206.807700564,-3.96675540063,-0.125819263078,713.83407965,-65.4360663263,285.729703294,-1.51324601711,105.819340686,0.859425393321,2.36180319584
205.378794288,-3.96675540063,-0.125819263078,714.742430721,-66.0032611621,285.729703294,-1.51324601711,104.91143708,0.859425393321,2.36180319584
204.884682362,-3.96675540063,-0.125819263078,715.801055588,-66.0032611621,284.418113782,-1.51324601711,104.094807206,0.859425393321,2.36180319584
204.918720505,-3.96675540063,-0.125819263078,715.801055588,-67.2732506334,282.52267505,-1.51324601711,103.187057294,0.859425393321,2.36180319584
204.918720505,-3.96675540063,-0.125819263078,717.013476925,-68.5900161448,280.627137348,-1.51324601711,102.277720107,0.859425393321,2.36180319584
